sku_id,stock_quantity,warehouse,last_updated
SKU-GROC-09393,174,Sydney,2026-03-01
SKU-AUTO-08187,319,Perth,2026-07-09
SKU-APPA-02078,112,Sydney,2026-01-04
SKU-APPA-02088,474,Melbourne,2026-03-22
SKU-TOYS-06081,203,Christchurch,2026-06-21
SKU-HEAL-11170,396,Perth,2026-03-23
SKU-AUTO-08296,212,Adelaide,2026-03-15
SKU-HEAL-11637,395,Perth,2026-04-14
SKU-SPOR-03603,341,Auckland,2026-03-11
SKU-APPA-01533,180,Adelaide,2026-07-24
SKU-GROC-08661,,Sydney,2026-05-16
SKU-HOME-03262,66,Perth,2026-07-05
SKU-TOYS-07175,35,Perth,2026-01-24
SKU-APPA-01751,,Perth,2026-04-16
SKU-ELEC-00653,,Melbourne,2026-02-03
SKU-GROC-09106,413,Perth,2026-01-15
SKU-APPA-02374,361,Christchurch,2026-07-06
SKU-APPA-01857,190,Adelaide,2026-05-14
SKU-HOME-03542,462,Perth,2026-03-23
SKU-HEAL-11880,408,Adelaide,2026-04-17
SKU-BEAU-05547,239,Adelaide,2026-06-04
SKU-HEAL-11025,472,Wellington,2026-07-07
SKU-HEAL-11011,405,Adelaide,2026-04-03
SKU-APPA-02024,200,Sydney,2026-07-03
SKU-APPA-01489,223,Auckland,2026-04-01
SKU-BEAU-05223,118,Auckland,2026-06-28
SKU-BEAU-05686,58,Melbourne,2026-05-25
SKU-HEAL-11853,,Perth,2026-03-23
SKU-TOYS-06402,277,Christchurch,2026-07-07
SKU-TOYS-06979,209,Brisbane,2026-03-02
SKU-HOME-03554,184,Melbourne,2026-04-04
SKU-TOYS-06670,271,Auckland,2026-02-24
SKU-HOME-03190,423,Perth,2026-03-01
SKU-ELEC-00182,485,Adelaide,2026-04-27
SKU-HOME-02910,,Brisbane,2026-02-22
SKU-TOYS-06764,234,Sydney,2026-02-19
SKU-ELEC-00995,258,Melbourne,2026-01-18
SKU-HOME-02463,237,Auckland,2026-01-17
SKU-AUTO-07723,213,Auckland,2026-07-25
SKU-AUTO-07777,307,Brisbane,2026-01-23
SKU-GROC-08629,489,Sydney,2026-07-15
SKU-GROC-09206,312,Auckland,2026-03-22
SKU-HEAL-10898,118,Adelaide,2026-07-19
SKU-ELEC-00915,157,Auckland,2026-06-13
SKU-ELEC-00319,72,Auckland,2026-02-21
SKU-TOYS-06351,362,Perth,2026-02-01
SKU-AUTO-07475,233,Sydney,2026-03-03
SKU-HEAL-11218,186,Auckland,2026-04-16
SKU-HOME-02592,182,Melbourne,2026-03-25
SKU-GROC-08745,497,Wellington,2026-02-28
SKU-APPA-02011,470,Melbourne,2026-07-09
SKU-HOME-02779,453,Christchurch,2026-01-02
SKU-HEAL-11572,101,Auckland,2026-03-07
SKU-BEAU-04949,486,Melbourne,2026-05-19
SKU-HEAL-11402,253,Brisbane,2026-03-14
SKU-BEAU-05340,257,Adelaide,2026-04-17
SKU-AUTO-07369,,Adelaide,2026-02-01
SKU-HEAL-11680,311,Christchurch,2026-03-08
SKU-SPOR-04452,440,Brisbane,2026-02-18
SKU-ELEC-00162,276,Sydney,2026-05-19
SKU-AUTO-07429,105,Adelaide,2026-07-01
SKU-ELEC-00670,428,Sydney,2026-07-05
SKU-TOYS-06825,,Auckland,2026-06-11
SKU-OFFI-10197,,Brisbane,2026-07-24
SKU-APPA-01529,43,Auckland,2026-04-19
SKU-HOME-03427,277,Sydney,2026-03-25
SKU-TOYS-06005,68,Brisbane,2026-05-23
SKU-APPA-01289,36,Sydney,2026-07-18
SKU-TOYS-06838,472,Melbourne,2026-02-04
SKU-BEAU-05283,367,Wellington,2026-05-23
SKU-BEAU-05301,423,Auckland,2026-05-11
SKU-BEAU-05031,,Adelaide,2026-04-03
SKU-ELEC-00757,74,Auckland,2026-06-27
SKU-APPA-01671,4,Brisbane,2026-06-18
SKU-HEAL-11562,,Brisbane,2026-06-10
SKU-OFFI-10330,433,Perth,2026-06-17
SKU-HOME-02974,135,Adelaide,2026-05-03
SKU-GROC-09293,172,Brisbane,2026-03-11
SKU-AUTO-08229,299,Brisbane,2026-02-20
SKU-GROC-08847,36,Wellington,2026-01-25
SKU-TOYS-06944,29,Auckland,2026-04-25
SKU-SPOR-04220,153,Auckland,2026-04-16
SKU-APPA-01987,355,Brisbane,2026-06-11
SKU-HEAL-11487,,Adelaide,2026-06-11
SKU-OFFI-10752,81,Auckland,2026-06-14
SKU-HOME-03324,,Adelaide,2026-02-03
SKU-HEAL-11224,455,Melbourne,2026-06-28
SKU-HEAL-11652,359,Melbourne,2026-04-20
SKU-BEAU-05538,317,Adelaide,2026-05-25
SKU-OFFI-10001,151,Christchurch,2026-03-05
SKU-ELEC-00665,86,Wellington,2026-05-03
SKU-TOYS-06973,127,Wellington,2026-07-08
SKU-APPA-01779,283,Brisbane,2026-07-20
SKU-BEAU-05358,174,Brisbane,2026-02-20
SKU-APPA-01792,214,Christchurch,2026-02-22
SKU-TOYS-06420,268,Brisbane,2026-05-15
SKU-HEAL-11663,366,Auckland,2026-07-07
SKU-APPA-02348,,Auckland,2026-03-23
SKU-HOME-03179,269,Brisbane,2026-02-02
SKU-APPA-02263,113,Brisbane,2026-07-10
SKU-APPA-02317,3,Wellington,2026-04-02
SKU-HOME-02628,108,Brisbane,2026-05-04
SKU-APPA-01887,270,Brisbane,2026-04-05
SKU-GROC-09062,474,Christchurch,2026-07-19
SKU-BEAU-05019,318,Auckland,2026-06-13
SKU-HEAL-11120,23,Auckland,2026-01-07
SKU-BEAU-04856,74,Sydney,2026-03-22
SKU-HEAL-10819,214,Adelaide,2026-02-22
SKU-ELEC-00870,36,Auckland,2026-04-12
SKU-APPA-01402,470,Wellington,2026-03-24
SKU-HOME-03214,28,Brisbane,2026-06-17
SKU-HEAL-11466,,Perth,2026-06-21
SKU-HOME-02595,,Brisbane,2026-01-09
SKU-TOYS-06389,444,Sydney,2026-06-23
SKU-AUTO-07667,406,Auckland,2026-07-14
SKU-TOYS-06007,337,Perth,2026-04-08
SKU-TOYS-06153,59,Melbourne,2026-04-01
SKU-HEAL-10855,428,Perth,2026-02-20
SKU-BEAU-05211,452,Auckland,2026-01-11
SKU-AUTO-08348,49,Sydney,2026-02-12
SKU-SPOR-03614,39,Auckland,2026-07-21
SKU-AUTO-07728,53,Auckland,2026-02-16
SKU-APPA-01519,99,Wellington,2026-05-02
SKU-HEAL-10972,125,Brisbane,2026-05-20
SKU-TOYS-06864,299,Wellington,2026-03-04
SKU-SPOR-04065,309,Perth,2026-07-17
SKU-APPA-02274,308,Brisbane,2026-07-01
SKU-ELEC-00157,200,Wellington,2026-03-10
SKU-HEAL-11139,465,Brisbane,2026-02-10
SKU-TOYS-06684,339,Perth,2026-06-27
SKU-HEAL-11488,162,Sydney,2026-03-21
SKU-GROC-09182,400,Sydney,2026-01-01
SKU-GROC-09168,74,Brisbane,2026-04-07
SKU-OFFI-10219,114,Wellington,2026-02-08
SKU-GROC-08534,138,Brisbane,2026-04-23
SKU-ELEC-00421,380,Melbourne,2026-01-03
SKU-OFFI-10157,128,Brisbane,2026-03-18
SKU-BEAU-05695,379,Wellington,2026-01-07
SKU-APPA-02232,134,Christchurch,2026-03-16
SKU-ELEC-00899,21,Christchurch,2026-04-08
SKU-OFFI-09802,71,Adelaide,2026-04-06
SKU-BEAU-05115,381,Perth,2026-02-25
SKU-HOME-02539,463,Adelaide,2026-06-05
SKU-AUTO-07977,478,Auckland,2026-06-14
SKU-BEAU-05677,98,Perth,2026-04-22
SKU-APPA-01477,321,Brisbane,2026-03-22
SKU-SPOR-03740,188,Adelaide,2026-02-26
SKU-ELEC-00573,179,Adelaide,2026-06-12
SKU-TOYS-07019,453,Wellington,2026-04-01
SKU-GROC-09115,16,Melbourne,2026-02-26
SKU-APPA-02182,492,Perth,2026-07-07
SKU-APPA-02177,140,Brisbane,2026-04-08
SKU-TOYS-06364,307,Wellington,2026-04-22
SKU-HEAL-11354,138,Wellington,2026-07-11
SKU-TOYS-06335,241,Melbourne,2026-02-21
SKU-HOME-03425,174,Auckland,2026-04-25
SKU-HEAL-11394,,Perth,2026-02-20
SKU-HOME-03461,267,Perth,2026-03-03
SKU-OFFI-09716,126,Sydney,2026-05-04
SKU-APPA-01391,103,Christchurch,2026-06-17
SKU-HEAL-11753,181,Wellington,2026-03-02
SKU-AUTO-08016,432,Sydney,2026-03-06
SKU-HEAL-11802,281,Melbourne,2026-07-03
SKU-TOYS-07195,284,Adelaide,2026-01-08
SKU-HOME-03541,241,Melbourne,2026-06-03
SKU-HEAL-10877,250,Wellington,2026-03-15
SKU-HEAL-10982,211,Wellington,2026-03-09
SKU-HOME-03067,390,Perth,2026-02-11
SKU-BEAU-04948,193,Perth,2026-03-01
SKU-BEAU-05561,246,Brisbane,2026-02-24
SKU-HOME-03391,463,Wellington,2026-01-18
SKU-OFFI-10655,374,Perth,2026-03-19
SKU-HEAL-11243,3,Wellington,2026-06-13
SKU-AUTO-07938,205,Sydney,2026-03-20
SKU-HOME-03307,,Perth,2026-05-04
SKU-OFFI-10470,385,Wellington,2026-01-20
SKU-SPOR-04021,474,Brisbane,2026-07-10
SKU-OFFI-10719,228,Brisbane,2026-02-21
SKU-HOME-03526,22,Melbourne,2026-02-10
SKU-BEAU-05097,438,Brisbane,2026-05-09
SKU-BEAU-05224,,Christchurch,2026-02-14
SKU-ELEC-01010,13,Auckland,2026-03-07
SKU-APPA-01372,19,Christchurch,2026-06-03
SKU-APPA-01709,495,Melbourne,2026-04-06
SKU-AUTO-07280,217,Auckland,2026-03-10
SKU-ELEC-01044,299,Christchurch,2026-04-24
SKU-ELEC-00386,11,Melbourne,2026-06-06
SKU-ELEC-00322,320,Christchurch,2026-05-12
SKU-SPOR-04058,,Adelaide,2026-04-03
SKU-BEAU-04964,81,Sydney,2026-03-18
SKU-GROC-09057,8,Melbourne,2026-05-17
SKU-AUTO-08383,124,Christchurch,2026-07-16
SKU-APPA-01436,341,Perth,2026-04-01
SKU-ELEC-00699,480,Perth,2026-04-22
SKU-HOME-03587,422,Perth,2026-01-19
SKU-APPA-01534,124,Auckland,2026-02-14
SKU-APPA-01244,285,Christchurch,2026-06-05
SKU-AUTO-08007,263,Wellington,2026-01-21
SKU-TOYS-06249,207,Sydney,2026-01-09
SKU-OFFI-10503,361,Brisbane,2026-03-28
SKU-ELEC-01144,489,Sydney,2026-04-12
SKU-OFFI-09785,465,Christchurch,2026-07-27
SKU-OFFI-10652,48,Brisbane,2026-04-19
SKU-HEAL-10829,389,Adelaide,2026-07-12
SKU-APPA-02156,170,Melbourne,2026-03-18
SKU-TOYS-07119,428,Sydney,2026-04-22
SKU-AUTO-08004,392,Christchurch,2026-07-26
SKU-HEAL-11208,10,Christchurch,2026-05-04
SKU-SPOR-04720,274,Adelaide,2026-06-23
SKU-SPOR-03853,420,Melbourne,2026-07-22
SKU-OFFI-10340,92,Wellington,2026-07-16
SKU-HEAL-11329,461,Melbourne,2026-07-19
SKU-APPA-01327,,Auckland,2026-06-09
SKU-GROC-09478,,Adelaide,2026-05-28
SKU-APPA-01833,107,Brisbane,2026-02-23
SKU-AUTO-08224,263,Sydney,2026-02-03
SKU-APPA-01796,114,Christchurch,2026-06-09
SKU-AUTO-07707,197,Christchurch,2026-04-09
SKU-HEAL-11817,393,Sydney,2026-06-20
SKU-GROC-08936,500,Sydney,2026-01-22
SKU-BEAU-05441,301,Sydney,2026-05-02
SKU-HOME-03038,169,Adelaide,2026-07-09
SKU-HOME-02795,19,Melbourne,2026-01-18
SKU-ELEC-01195,371,Perth,2026-05-08
SKU-HEAL-11137,497,Melbourne,2026-07-24
SKU-SPOR-03752,447,Sydney,2026-03-13
SKU-GROC-08569,464,Brisbane,2026-03-15
SKU-OFFI-09759,432,Auckland,2026-04-24
SKU-OFFI-10009,355,Melbourne,2026-04-10
SKU-HOME-02623,97,Christchurch,2026-04-07
SKU-HOME-02465,228,Auckland,2026-03-14
SKU-HEAL-11408,44,Wellington,2026-02-14
SKU-TOYS-06524,82,Brisbane,2026-06-18
SKU-HEAL-11027,452,Perth,2026-05-12
SKU-ELEC-00575,200,Sydney,2026-02-19
SKU-OFFI-09604,488,Perth,2026-01-02
SKU-TOYS-06733,408,Sydney,2026-04-07
SKU-APPA-02080,191,Melbourne,2026-05-27
SKU-OFFI-10282,2,Brisbane,2026-04-08
SKU-APPA-01472,94,Sydney,2026-03-11
SKU-SPOR-03988,274,Adelaide,2026-05-22
SKU-ELEC-00296,20,Auckland,2026-05-14
SKU-BEAU-05525,444,Melbourne,2026-02-17
SKU-SPOR-04024,198,Perth,2026-06-28
SKU-ELEC-00339,130,Adelaide,2026-02-04
SKU-ELEC-01099,454,Perth,2026-01-04
SKU-TOYS-06689,82,Auckland,2026-06-11
SKU-BEAU-04834,238,Melbourne,2026-03-05
SKU-TOYS-07170,291,Perth,2026-03-10
SKU-ELEC-01181,277,Christchurch,2026-05-06
SKU-AUTO-07616,118,Sydney,2026-01-05
SKU-AUTO-07960,110,Sydney,2026-07-14
SKU-ELEC-00081,147,Wellington,2026-06-05
SKU-OFFI-10161,387,Christchurch,2026-02-22
SKU-HOME-03561,364,Perth,2026-01-17
SKU-BEAU-05672,356,Brisbane,2026-01-20
SKU-HOME-03444,189,Christchurch,2026-05-02
SKU-BEAU-04848,260,Adelaide,2026-06-03
SKU-BEAU-05575,371,Christchurch,2026-04-03
SKU-OFFI-10288,255,Perth,2026-07-26
SKU-BEAU-04988,9,Adelaide,2026-06-20
SKU-OFFI-10596,272,Wellington,2026-07-17
SKU-OFFI-10581,9,Christchurch,2026-05-24
SKU-APPA-01462,48,Christchurch,2026-02-08
SKU-AUTO-08063,89,Brisbane,2026-03-03
SKU-SPOR-04608,120,Christchurch,2026-06-08
SKU-OFFI-09725,498,Melbourne,2026-06-14
SKU-HOME-02935,,Brisbane,2026-06-16
SKU-BEAU-05779,132,Adelaide,2026-04-12
SKU-ELEC-00378,37,Christchurch,2026-03-04
SKU-ELEC-00838,134,Adelaide,2026-01-16
SKU-ELEC-00577,290,Brisbane,2026-04-03
SKU-BEAU-05674,157,Christchurch,2026-01-15
SKU-HOME-03149,363,Adelaide,2026-07-14
SKU-HOME-03012,433,Christchurch,2026-03-07
SKU-HEAL-11690,192,Adelaide,2026-04-15
SKU-APPA-02363,375,Melbourne,2026-07-23
SKU-BEAU-04802,301,Melbourne,2026-03-20
SKU-OFFI-10027,144,Christchurch,2026-03-17
SKU-HOME-03437,251,Wellington,2026-07-24
SKU-GROC-08775,202,Auckland,2026-04-06
SKU-APPA-01251,1,Christchurch,2026-07-25
SKU-APPA-01319,438,Perth,2026-06-24
SKU-HEAL-10894,496,Brisbane,2026-04-01
SKU-HEAL-11590,473,Perth,2026-02-13
SKU-OFFI-10177,251,Auckland,2026-02-20
SKU-ELEC-00714,354,Perth,2026-07-04
SKU-HEAL-10815,33,Sydney,2026-07-07
SKU-BEAU-05391,194,Christchurch,2026-01-04
SKU-APPA-01568,12,Brisbane,2026-01-23
SKU-HOME-02498,461,Brisbane,2026-06-19
SKU-GROC-09380,31,Auckland,2026-07-23
SKU-TOYS-06416,100,Perth,2026-02-09
SKU-AUTO-08153,34,Adelaide,2026-03-17
SKU-SPOR-04715,37,Melbourne,2026-01-12
SKU-HEAL-11607,472,Perth,2026-01-15
SKU-OFFI-10082,21,Adelaide,2026-05-13
SKU-GROC-08725,435,Perth,2026-05-04
SKU-APPA-01731,56,Christchurch,2026-03-04
SKU-OFFI-10473,127,Melbourne,2026-01-15
SKU-HEAL-11554,416,Auckland,2026-04-16
SKU-HOME-03564,279,Melbourne,2026-04-17
SKU-GROC-08449,270,Auckland,2026-07-17
SKU-SPOR-04771,437,Auckland,2026-06-28
SKU-APPA-02032,,Sydney,2026-06-13
SKU-OFFI-10002,205,Christchurch,2026-06-10
SKU-OFFI-10480,99,Adelaide,2026-03-25
SKU-HEAL-11659,349,Melbourne,2026-04-28
SKU-GROC-09387,13,Wellington,2026-07-15
SKU-SPOR-03971,199,Brisbane,2026-03-22
SKU-GROC-08841,419,Auckland,2026-07-07
SKU-BEAU-05737,7,Melbourne,2026-02-04
SKU-TOYS-06496,488,Auckland,2026-03-24
SKU-BEAU-04933,305,Christchurch,2026-02-05
SKU-HEAL-11740,438,Perth,2026-07-16
SKU-OFFI-10706,479,Sydney,2026-04-24
SKU-ELEC-00336,473,Sydney,2026-04-16
SKU-TOYS-06396,359,Christchurch,2026-04-12
SKU-AUTO-08263,263,Auckland,2026-02-22
SKU-SPOR-03977,89,Perth,2026-03-08
SKU-HEAL-11670,216,Adelaide,2026-07-24
SKU-ELEC-00045,293,Auckland,2026-07-06
SKU-ELEC-00385,421,Melbourne,2026-05-23
SKU-BEAU-05429,3,Wellington,2026-04-28
SKU-OFFI-10301,138,Auckland,2026-05-17
SKU-TOYS-06773,216,Auckland,2026-04-07
SKU-HEAL-12000,497,Christchurch,2026-06-25
SKU-TOYS-06955,446,Brisbane,2026-01-01
SKU-SPOR-03635,277,Wellington,2026-01-27
SKU-OFFI-10688,427,Wellington,2026-05-26
SKU-ELEC-00700,209,Wellington,2026-04-19
SKU-AUTO-08206,43,Christchurch,2026-04-23
SKU-TOYS-07012,41,Brisbane,2026-04-04
SKU-APPA-02006,165,Christchurch,2026-04-22
SKU-SPOR-04620,1,Christchurch,2026-05-12
SKU-OFFI-10637,322,Brisbane,2026-04-12
SKU-SPOR-03647,164,Adelaide,2026-04-07
SKU-SPOR-03903,212,Christchurch,2026-01-02
SKU-BEAU-05536,401,Christchurch,2026-07-13
SKU-GROC-08485,446,Christchurch,2026-06-27
SKU-ELEC-00568,48,Wellington,2026-04-28
SKU-GROC-09131,379,Christchurch,2026-07-16
SKU-AUTO-08100,322,Sydney,2026-02-12
SKU-AUTO-08017,95,Perth,2026-04-11
SKU-TOYS-06050,181,Auckland,2026-07-14
SKU-ELEC-00631,51,Christchurch,2026-05-27
SKU-ELEC-00098,498,Perth,2026-06-14
SKU-HEAL-11965,190,Brisbane,2026-05-19
SKU-OFFI-10457,33,Sydney,2026-05-26
SKU-APPA-01938,256,Adelaide,2026-02-15
SKU-OFFI-10696,320,Sydney,2026-02-03
SKU-HEAL-11511,481,Sydney,2026-06-15
SKU-HEAL-11355,43,Perth,2026-05-27
